name	pastorName	vibe	denomination	address	street	city	state	zip	worship	preaching	men women college	married young adult	small groups	service times	day	attendance	serviceOpportunities	missionTrips	counseling	pastorBio	preferredContact	contactType
Holy Word Lutheran Church	Joel Hering	Traditional	Lutheran	10601 Bluff Bend Dr, Austin, TX 78753	10601 Bluff Bend Dr	Austin	TX	78753	Traditional 	Passage-Based	no	Yes	yes	9:00	Sunday	Small	y	N	N	Joel Hering grew up in Dallas, Tx. He graduated from Martin Luther College with a bachelor's of Liberal Arts in 2014. He graduated from Wisconsin Lutheran Seminary in 2018 with a Master's of Divinity. His first call was to Luther Preparatory School serving as a teacher of Acts and the Epistles and supervising the dormitory. In 2020, he received the call the serve at Holy Word where he currently serves.   Pastor Joel married his wife Amanda in July of 2015. They have three children, Bobby, Bennett and Lucy. He enjoys sports, the outdoors, and good food. His favorite thing to do as a pastor is to teach the foundational truths of the Bible that so many Christians seem to have never studied in depth. 	joel@holyword.net	known
LifeFamily - Downtown	Derek and Jill Welborn	Modern	Non-Denominational	310 W Willie Nelson Blvd, Austin, TX 78701	310 W Willie Nelson Blvd	Austin	TX	78701	Modern	Theme-Based, Passage-Based	No	No	Yes	09:30, 11:00	Sunday	Medium	y	N	N	Derek is the Campus Pastor for LifeFamily Downtown. He is married to his wife Jill, who also serves with the church.	rgarcia@life.family	known
Midtown Church Austin	Jake Box	Modern	Non-Denominational	4425 Red River St, Austin, TX 78751	4425 Red River St	Austin	TX	78751	Mix	Verse-By-Verse, Theme-Based, Passage-Based	Yes	No	Yes	10:30	Sunday	Small	Y	Y	N	Jake Box grew up in Austin, but somehow ended up attending Texas A&M. After graduating in 2003 he married Krista and returned to Austin to work for his home church, Hill Country Bible Church. Over the next ten years Jake studied at Dallas Theological Seminary and served in various pastoral roles within the Hill Country Bible Church Association. Also, during that time God blessed Jake and Krista with three awesome kids (Camp, Enock, and Della).   In 2013, Hill Country sent the Box family, along with 35 of their friends, to start Midtown Church in central Austin. For over ten years now they have had the joy of living in central Austin, serving their Midtown family, and helping their neighbors experience the love of Jesus. 	josh@midtownaustin.org	known
Mosaic Church Austin - North	Morgan Stephens	Modern	Non-Denominational	12675 Research Blvd, Austin, TX 78759	12675 Research Blvd	Austin	TX	78759	Modern	Theme-Based, Passage-Based	Yes	No	Yes	9:00, 11:00, 12:30	Sunday	Medium	Y	N	y	Morgan and his wife, Carrie, started out as campus missionaries at the University of Texas way back in the 1900s, and have led Mosaic Church, a richly diverse community of faith in Austin, Texas, since 2010.	calame.brady@gmail.com	student
New City Church	Justin Smith	Modern	Non-Denominational 	7912 Annalise Dr. Austin, Texas 78744	7912 Annalise Dr	Austin	TX	78744	Modern	Verse-By-Verse, Theme-Based, Passage-Based	Yes	Yes	Yes	17:00	Sunday	Small	Y	N	N	Our Lead Pastor, Justin Smith and his wife, Rebecca, have been doing ministry with young adults for almost a decade. They love having people in their home and are passionate about the next generation. They moved with their two kids and a small team to Austin in January 2023 to start New City Church. 	justin@newcityatx.org	known
North Village Church	Michael Dennis	Modern	Non-Denominational,Acts 29	2203 W Anderson Ln, Ste B. Austin, TX 78757	2203 W Anderson Ln	Austin	TX	78757	Mix	Passage-Based	No	No	No	10:30	Sunday	Medium	Y	Y	N	Michael and his wife Holly have two children, Kennedy and Tucker. He grew up in Irving, TX (huge fan of the Dallas Cowboys!) and didn’t grow up around a local church or knowing about Jesus. By God’s grace there were men and women who helped him grow in Jesus, and after graduating from Dallas Theological Seminary, he worked for a few different churches until 2009, when Jesus put a desire in his heart to start a new church in north central Austin.	michael@northvillagechurch.com	unknown
Northpoint Austin	Buck Giebelhaus	Modern	Non-Denominational	1320 Arrow Point Dr Ste. 201, Cedar Park, TX 78613	1320 Arrow Point Dr Ste. 201	Cedar Park	TX	78613	Modern	Theme-Based	yes	No	yes	09:30, 11:00	Sunday	Medium	y	y	y	Buck Giebelhaus is our Lead Pastor and founding member of Northpoint Austin. He and his wife Jill have 5 boys, Sam, Luke, Timothy, Michael & Jonathan. Before starting Northpoint Church in 2009, Buck worked at Dell and also played golf professionally. In his free time he loves watching UFC and hanging out on a Pontoon boat with his family. He loves Apple products, the Texas Longhorns (hook em!) and going on dates & trips with Jill.	buck.giebelhaus@npaustin.com	unknown
Park Hills Baptist Church 	Samuel Clintoc	Modern	Baptist	900 S MoPac Expy, Austin, TX 78746	900 S MoPac Expy	Austin	TX	78746	Traditional 	Passage-Based	Yes	No	Yes	10:30	Sunday	Small	Y	Y	N	Samuel was born and raised in Romania and lived there until the age of 16 when his family moved to the United States. He earned his Master of Divinity from Trinity Evangelical Divinity School and his Ph.D. from Southwestern Baptist Theological Seminary (dissertation topic: “The Theme of Witness in the Book of Revelation as Divine Testimony”). He was called to serve as senior pastor of Park Hills Baptist Church in January, 2010. Samuel is married to Anca (also a native of Romania) and they have three children: Ezra, Lucas, and Kara.	phbc@parkhillsbaptist.church	known
Redeemer Presbyterian Church	Eric Landry	Traditional	Presbyterian	2111 Alexander Ave, Austin, TX 78722	2111 Alexander Ave	Austin	TX	78722	Modern	Verse-By-Verse, Theme-Based, Passage-Based	Yes	No	Yes	08:45, 11:15	Sunday	Small	y	N	Y	Eric is a native of Arizona, where his parents still live. His extended family is scattered across Louisiana, Tennessee, and Georgia. Eric met his wife, Sarah (formerly “Maaske,” from Menomonee Falls, Wis.) at a small Presbyterian church in San Diego while they were both in graduate school. They were married in 2001. Eric completed his Master of Divinity degree from Westminster Seminary California in 2003. Sarah completed her Master of Science (Speech Pathology) degree in 2004. In 2005, they moved to Murrieta, Calif. (a community about an hour north and east of San Diego), and Eric became the founding pastor of Christ Presbyterian Church. The Landrys have two children, Andrew (also called “Drew”) and Allison (also called “Allie”). In addition to his pastoral ministry, Eric also serves as the Executive Editor of Modern Reformation magazine, a publication of the White Horse Inn.	dmorgan@redeemerpres.org	known
Ridgetop Church	Robert Krumrey	Modern	Baptist	708 E 51st St, Austin, TX 78751	708 E 51st St	Austin	TX	78751	Modern	Verse-By-Verse	Yes	No	Yes	11:00	Sunday	Very Small	Y	Y	Y	Robert Krumrey is husband to Melanie and father to 3 adult kids and a daughter in law. He is a Texan by birth and holds a cellular biology degree from the University of Texas.  His college days were a time of significant spiritual growth through his participation in a local church and The Fellowship of Christian Athletes.  After graduating from UT in the 90’s, he married Melanie who is also a UT grad who now works as a middle school teacher in AISD.  Robert has served as a youth pastor in south Austin and later a college pastor in Stillwater, OK while he worked on a Master of Divinity at Southwestern Baptist Theological Seminary.  After completing his degree, he and his family headed north to Amherst, Massachusetts in 1999 where he planted MERCYhouse and served as lead pastor for 22 years.  Robert is serving at RTC as pastor and lead church planter. You can reach Robert at robert@ridgetopchurch.org. 	connect@ridgetopchurch.org	known
Riverbend Church	Dave Haney	Traditional	Non-Denominational	4214 N Capital of Texas Hwy, Austin, TX 78746	4214 N Capital of Texas Hwy	Austin	TX	78746	Mix	Theme-Based	No	No	No	09:00, 10:30	Sunday	Very Large	y	N	N	Dave’s passion for leading a church for people who don’t like church has shaped his ministry. Dave and his wife, Diane, have three grown daughters; Cayah, Leah and Kaitlyn, all of whom have wound up in Austin, not simply to be near their family, but just because Austin is that awesome.	nsteinloski@riverbend.com	known
Shoreline Church - North	Rob and Laura Koke	Modern	Non-Denominational	15201 Burnet Rd, Austin, TX 78728	15201 Burnet Rd	Austin	TX	78728	Modern	Theme-Based	yes	No	Yes	09:30, 11:30	Sunday	Large	y	N	Y	Since 1987, Pastors Rob and Laura Koke have been leading a love revolution in Austin, TX. After three decades in ministry, seeing seasons of great flourish and navigating seasons of personal loss and grief, Pastor Rob and Laura Koke have made it their mission and purpose to help people know God, find life, and make a difference in Austin, Texas and around the globe. As leaders of the next generation, they are passionate about raising up strong godly men and women to influence the world with the beautiful story of Jesus.	James.mata@shoreline.net	unknown
The Austin Stone - Downtown	Tyler David	Modern	Baptist	1715 W Cesar Chavez St, Austin, TX 78703	1715 W Cesar Chavez St	Austin	TX	78703	Modern	Verse-By-Verse	Yes	No	Yes	09:00, 11:00	Sunday	Large	Y	Y	Y	Tyler David is the Congregation Pastor at The Austin Stone Community Church's Downtown location. He is married to his wife Lauren and has three children.	Bryson.upchurch@austinstone.org	known
The Austin Stone - South	Josh Hunter	Modern	Baptist	10100 S Mary Moore Searight Dr, Austin, TX 78748	10100 S Mary Moore Searight Dr	Austin	TX	78748	Modern	Verse-By-Verse	No	No	No	9:00	Sunday	Medium	y	N	N	Josh serves as a Pastor at The Austin Stone Community Church, specifically, South Austin. He was previously the Director of Student Life Camp and Student Life Kids Camp. Throughout his ministry he has had various church positions, serving the church and next gen for many years. Josh loves to learn all things leadership and teaching God’s word. He helped launch and hosted the Unseen Leadership Podcast. He is a huge fan of all things Memphis (Grit & Grind!) and dedicated Cowboys fan. Josh currently lives in Austin, TX with his wife, Haley, his son, Sonny, and dog, Chuckie.	ty.kindermann@austinstone.org	unknown
The Austin Stone - West	Ross Lester	Modern	Baptist	916 S Capital of Texas Hwy, Austin, TX 78746	916 S Capital of Texas Hwy	Austin	TX	78746	Modern	Verse-By-Verse	Yes	No	Yes	09:00, 11:00	Sunday	Medium	y	N	N	Ross Lester is a campus pastor and elder at The Austin Stone Community Church in Austin, Texas. He previously served as lead pastor of Bryanston Bible Church and network director of Acts 29 Southern Africa. He is part of the network leadership team for Acts 29 Emerging Regions. Ross is married to Sue, and they have two children.	chrissy@austinstone.org	unknown
The Vine	Mark Charbonneau	Mix	Non-Denominational	2312 San Gabriel St, Austin, TX 78705	2312 San Gabriel St	Austin	TX	78705	Modern	Theme-Based	No	No	yes	10:00	Sunday	Small	Y	N	N	Mark Charbonneau is the Pastor at The Vine. He is married to his wife Jennifer and has three children.	communications@thevineaustin.org	unknown
The Well Austin Church	Tory Mayo	Modern	Non-Denominational,Acts 29	903 Neal St, Austin, TX 78702	903 Neal St	Austin	TX	78702	Modern	Theme-Based	Yes	No	Yes	09:15, 11:15	Sunday	Large	Y	N	N	Tory is originally from Detroit, Michigan. After graduating from Bowling Green State University in Ohio, he moved to Austin to pursue an incredibly beautiful and godly woman, Natalie, who is now his wife! Together they have four daughters: Michaiah, Kyria, Jada, and Eliyah. After working for a church in Northwest Austin for 4 years, Tory and Natalie felt called to plant The Well. Tory hopes The Well is pivotal in planting 100s of churches, sending 100s of missionaries, and making much of Jesus in this great city! Tory is passionate about pursuing Jesus, discipleship, the Bible, cappuccinos, and sports (Go Blue!). Tory graduated with his Master’s in Christian Leadership from Dallas Theological Seminary. Tory’s main goal in life is to be a solid husband, a loving father, and to disciple as many men as possible for the glory of God!	norely@thewellaustin.com	known
Trinity Church Austin	Mark Zeiler	Modern 	Non-Denominational,Acts 29	2309 Panther Trail, Austin, TX 78704	2309 Panther Trail	Austin	TX	78704	Modern 	Verse-By-Verse	No	No	Yes	10:00	Sunday	Small	Y	N	N	Mark and his wife Megan founded Trinity Church Austin and received Acts 29 membership in 2017.	info@trinitychurchaustin.com	unknown
University Avenue Church of Christ	Jeff Peterson	Traditional	Church of Christ	1903 University Ave, Austin, TX 78705	1903 University Ave	Austin	TX	78705	Traditional	Theme-Based	Yes	No	Yes	10:30, 19:00	Sunday	Small	y	N	N	Jeff Peterson grew up in the Church of Christ in Galena Park, Texas. His desire to preach and be involved in ministry was instilled in him at an early age by his family and church home. He studied at Abilene Christian University in addition to earning graduate degrees at Princeton Theological Seminary and Yale University. He taught as a professor for many years at Austin Graduate School of Theology as well as Lipscomb University.	office@uachurch.org	unknown
Westover Hills Church of Christ	Luke Norsworthy	Modern	Church of Christ	8332 Mesa Dr, Austin, TX 78759	8332 Mesa Dr	Austin	TX	78759	Modern	Theme-Based	yes	No	no	10:30	Sunday	Medium	y	N	N	Luke met his wife Lindsay, a Leander high school grad, while he was earning his undergrad and graduate degrees at Abilene Christian University. Lindsay quickly converted Luke to being a fan of Austin. He loves eating Torchy’s tacos, reading, fitness and trying to keep up with their three daughters. Luke’s hope is that all sermons are accessible, interesting, and point towards the God who is with you and for you.	https://westover.wufoo.com/forms/x14uteda1pn1zaa/	unknown
